,Area,Mean,Min,Max
,0.053,255,255,255
,0.091,255,255,255
,0.479,255,255,255
,0.026,255,255,255
,0.034,255,255,255
,3.888,255,255,255
,9.834,255,255,255
,0.784,255,255,255
,0.044,255,255,255
,0.026,255,255,255
,0.206,255,255,255
,0.724,255,255,255
,1.396,255,255,255
,0.097,255,255,255
,1.187,255,255,255
,0.377,255,255,255
,0.12,255,255,255
,2.288,255,255,255
,0.067,255,255,255
,0.204,255,255,255
,0.889,255,255,255
,1.835,255,255,255
,0.051,255,255,255
,0.068,255,255,255
,0.05,255,255,255
,0.783,255,255,255
,1.663,255,255,255
,0.87,255,255,255
,0.093,255,255,255
,0.242,255,255,255
,0.114,255,255,255
,0.503,255,255,255
,0.03,255,255,255
,0.059,255,255,255
,0.144,255,255,255
,0.027,255,255,255
,0.252,255,255,255
,0.56,255,255,255
,0.284,255,255,255
,0.097,255,255,255
,0.022,255,255,255
,0.641,255,255,255
,0.052,255,255,255
,0.148,255,255,255
,0.327,255,255,255
,1.824,255,255,255
,0.343,255,255,255
,0.027,255,255,255
,0.24,255,255,255
,0.174,255,255,255
,0.022,255,255,255
,0.107,255,255,255
,0.111,255,255,255
,0.022,255,255,255
,0.022,255,255,255
,0.037,255,255,255
,0.377,255,255,255
,0.034,255,255,255
,0.272,255,255,255
,0.262,255,255,255
,0.241,255,255,255
,0.128,255,255,255
,0.022,255,255,255
,0.121,255,255,255
,0.061,255,255,255
,0.085,255,255,255
,0.043,255,255,255
,0.268,255,255,255
,0.48,255,255,255
,0.091,255,255,255
,0.083,255,255,255
,0.036,255,255,255
,0.028,255,255,255
,0.031,255,255,255
,0.045,255,255,255
,0.036,255,255,255
,0.171,255,255,255
,0.074,255,255,255
,0.258,255,255,255
,0.164,255,255,255
,0.655,255,255,255
,0.532,255,255,255
,0.055,255,255,255
,0.11,255,255,255
,0.079,255,255,255
,0.148,255,255,255
,0.1,255,255,255
,0.039,255,255,255
,0.114,255,255,255
,0.033,255,255,255
,1.728,255,255,255
,1.376,255,255,255
,0.027,255,255,255
,0.101,255,255,255
,0.759,255,255,255
,0.033,255,255,255
,0.307,255,255,255
,0.161,255,255,255
,0.033,255,255,255
,0.03,255,255,255
,0.385,255,255,255
,0.145,255,255,255
,0.112,255,255,255
,0.03,255,255,255
,0.022,255,255,255
,0.045,255,255,255
,0.036,255,255,255
,0.145,255,255,255
,0.721,255,255,255
,0.099,255,255,255
,0.06,255,255,255
,0.051,255,255,255
,0.146,255,255,255
,0.244,255,255,255
,0.03,255,255,255
,0.022,255,255,255
,0.119,255,255,255
,0.122,255,255,255
,1.172,255,255,255
,0.033,255,255,255
,0.027,255,255,255
,0.035,255,255,255
,0.035,255,255,255
,0.373,255,255,255
,0.023,255,255,255
,2.243,255,255,255
,0.058,255,255,255
,0.396,255,255,255
,0.029,255,255,255
,0.081,255,255,255
,0.201,255,255,255
,0.248,255,255,255
,0.107,255,255,255
,0.667,255,255,255
,0.041,255,255,255
,0.06,255,255,255
,0.218,255,255,255
,0.847,255,255,255
,0.031,255,255,255
,0.067,255,255,255
,0.035,255,255,255
,0.078,255,255,255
,0.117,255,255,255
,0.038,255,255,255
,0.313,255,255,255
,0.068,255,255,255
,0.023,255,255,255
,0.109,255,255,255
,0.282,255,255,255
,0.116,255,255,255
,0.023,255,255,255
,0.133,255,255,255
,0.479,255,255,255
,0.295,255,255,255
,0.234,255,255,255
,0.102,255,255,255
,0.055,255,255,255
,0.578,255,255,255
,0.023,255,255,255
,0.031,255,255,255
,0.277,255,255,255
,0.033,255,255,255
,0.485,255,255,255
,1.051,255,255,255
,0.218,255,255,255
,3.537,255,255,255
,0.047,255,255,255
,0.118,255,255,255
,0.229,255,255,255
,0.023,255,255,255
,0.088,255,255,255
,0.066,255,255,255
,0.671,255,255,255
,0.038,255,255,255
,0.486,255,255,255
,0.061,255,255,255
,0.023,255,255,255
,0.047,255,255,255
,0.117,255,255,255
,0.033,255,255,255
,0.023,255,255,255
,1.27,255,255,255
,0.174,255,255,255
,0.134,255,255,255
,0.045,255,255,255
,0.264,255,255,255
,0.023,255,255,255
,0.155,255,255,255
,0.046,255,255,255
,0.138,255,255,255
,0.151,255,255,255
,0.023,255,255,255
,0.255,255,255,255
,0.8,255,255,255
,0.023,255,255,255
,0.305,255,255,255
,0.149,255,255,255
,0.36,255,255,255
,0.094,255,255,255
,2.477,255,255,255
,0.062,255,255,255
,0.034,255,255,255
,0.038,255,255,255
,0.765,255,255,255
,0.024,255,255,255
,0.098,255,255,255
,0.112,255,255,255
,0.093,255,255,255
,0.178,255,255,255
,3.523,255,255,255
,24.148,255,255,255
,0.064,255,255,255
,0.03,255,255,255
,0.109,255,255,255
,0.098,255,255,255
,0.035,255,255,255
,1.115,255,255,255
,0.024,255,255,255
,0.036,255,255,255
,0.034,255,255,255
,0.024,255,255,255
,0.038,255,255,255
,0.894,255,255,255
,0.573,255,255,255
,0.024,255,255,255
,0.157,255,255,255
,4.551,255,255,255
,0.084,255,255,255
,0.063,255,255,255
,0.604,255,255,255
,0.682,255,255,255
,0.052,255,255,255
,0.106,255,255,255
,0.143,255,255,255
,0.13,255,255,255
,0.217,255,255,255
,0.123,255,255,255
,0.047,255,255,255
,0.049,255,255,255
,0.041,255,255,255
,0.331,255,255,255
,0.161,255,255,255
,0.444,255,255,255
,0.024,255,255,255
,0.024,255,255,255
,0.367,255,255,255
,0.327,255,255,255
,0.07,255,255,255
,0.074,255,255,255
,0.086,255,255,255
,0.43,255,255,255
,0.348,255,255,255
,0.036,255,255,255
,1.019,255,255,255
,0.171,255,255,255
,0.514,255,255,255
,0.68,255,255,255
,0.045,255,255,255
,0.071,255,255,255
,0.105,255,255,255
,0.04,255,255,255
,0.028,255,255,255
,0.147,255,255,255
,0.212,255,255,255
,0.023,255,255,255
,0.289,255,255,255
,0.099,255,255,255
,0.182,255,255,255
,0.448,255,255,255
,0.523,255,255,255
,0.23,255,255,255
,0.685,255,255,255
,0.077,255,255,255
,0.138,255,255,255
,0.111,255,255,255
,0.204,255,255,255
,0.068,255,255,255
,0.064,255,255,255
,0.161,255,255,255
,0.176,255,255,255
,0.085,255,255,255
,0.763,255,255,255
,0.086,255,255,255
,0.297,255,255,255
,0.23,255,255,255
,0.373,255,255,255
,0.099,255,255,255
,0.489,255,255,255
,0.099,255,255,255
,0.246,255,255,255
,0.344,255,255,255
,0.034,255,255,255
,0.171,255,255,255
,1.593,255,255,255
,0.283,255,255,255
,0.249,255,255,255
,0.342,255,255,255
,0.77,255,255,255
,0.081,255,255,255
,0.118,255,255,255
,0.082,255,255,255
,0.391,255,255,255
,2.922,255,255,255
,0.351,255,255,255
,1.456,255,255,255
,0.041,255,255,255
,0.193,255,255,255
,0.036,255,255,255
,0.053,255,255,255
,0.348,255,255,255
,0.031,255,255,255
,3.546,255,255,255
,0.278,255,255,255
,0.071,255,255,255
,0.3,255,255,255
,0.024,255,255,255
,0.103,255,255,255
,0.039,255,255,255
,0.103,255,255,255
,0.024,255,255,255
,0.477,255,255,255
,0.499,255,255,255
,0.024,255,255,255
,0.083,255,255,255
,0.342,255,255,255
,0.452,255,255,255
,0.048,255,255,255
,1.08,255,255,255
,0.081,255,255,255
,0.154,255,255,255
,0.126,255,255,255
,0.03,255,255,255
,0.627,255,255,255
,0.039,255,255,255
,0.282,255,255,255
,5.255,255,255,255
,0.933,255,255,255
,0.209,255,255,255
,0.749,255,255,255
,0.094,255,255,255
,0.348,255,255,255
,0.077,255,255,255
,0.024,255,255,255
,0.529,255,255,255
,0.17,255,255,255
,0.096,255,255,255
,2.787,255,255,255
,0.236,255,255,255
,0.462,255,255,255
,0.125,255,255,255
,0.068,255,255,255
,0.176,255,255,255
,0.707,255,255,255
,0.112,255,255,255
,0.055,255,255,255
,0.04,255,255,255
,0.113,255,255,255
,0.024,255,255,255
,0.065,255,255,255
,0.477,255,255,255
,0.437,255,255,255
,0.415,255,255,255
